,0
3.0,26.0
3.5,73.0
4.0,133.0
4.5,207.0
5.0,302.0
5.5,416.0
6.0,554.0
6.5,717.0
7.0,907.0
7.5,1126.0
8.0,1375.0
8.5,1652.0
9.0,1958.0
9.5,2282.0
10.0,2585.0
10.5,2821.0
11.0,2997.0
11.5,3050.0
12.0,3067.0
12.5,3074.0
13.0,3075.0
13.5,3075.0
14.0,3075.0
14.5,3075.0
15.0,3075.0
15.5,3075.0
16.0,3075.0
16.5,3075.0
17.0,3075.0
17.5,3075.0
18.0,3075.0
18.5,3075.0
19.0,3075.0
19.5,3075.0
20.0,3075.0
20.5,3075.0
21.0,3075.0
21.5,3075.0
22.0,3075.0
22.5,3075.0
23.0,3075.0
23.5,3075.0
24.0,3075.0
24.5,3075.0
25.0,3075.0
